rank,name
2,Alexander Zverev
4,Felix Auger-Aliassime
5,Alex de Minaur
6,Ben Shelton
8,Daniil Medvedev
9,Flavio Cobolli
10,Taylor Fritz
12,Learner Tien
13,Jakub Mensik
14,Andrey Rublev
14,Jiri Lehecka
15,Lorenzo Musetti
16,Luciano Darderi
17,Frances Tiafoe
18,Arthur Fils
19,Casper Ruud
20,Rafael Jodar
20,Valentin Vacherot
21,Francisco Cerundolo
21,Karen Khachanov
22,Joao Fonseca
23,Arthur Rinderknech
24,Tommy Paul
24,Ugo Humbert
25,Alejandro Tabilo
26,Tomas Martin Etcheverry
28,Brandon Nakashima
29,Cameron Norrie
34,Ignacio Buse
35,Matteo Arnaldi
36,Corentin Moutet
37,Alexander Blockx
38,Mariano Navone
39,Tallon Griekspoor
40,Adrian Mannarino
41,Denis Shapovalov
42,Alex Michelsen
43,Raphael Collignon
44,Jaume Munar
45,Juan Manuel Cerundolo
46,Kamil Majchrzak
48,Zizou Bergs
49,Matteo Berrettini
49,Terence Atmane
51,Miomir Kecmanovic
52,Botic van de Zandschulp
53,Nuno Borges
54,Thiago Agustin Tirante
55,Yannick Hanfmann
56,Sebastian Baez
57,Camilo Ugo Carabelli
58,Martin Landaluce
59,Daniel Altmaier
60,Marin Cilic
62,Fabian Marozsan
64,Hamad Medjedovic
65,Mattia Bellucci
66,Roman Andres Burruchaga
67,Jenson Brooksby
68,Vit Kopriva
70,Aleksandar Kovacevic
71,Pablo Carreno Busta
72,Lorenzo Sonego
73,Adolfo Daniel Vallejo
73,Zachary Svajda
75,Valentin Royer
76,Marton Fucsovics
77,Jan-Lennard Struff
78,James Duckworth
82,Luca Van Assche
83,Rinky Hijikata
84,Giovanni Mpetshi Perricard
85,Daniel Merida
86,Marcos Giron
88,Stefanos Tsitsipas
89,Sho Shimabukuro
91,Gabriel Diallo
92,Adam Walton
93,Benjamin Bonzi
95,Hubert Hurkacz
100,Alexei Popyrin
103,Aleksandar Vukic
105,Martin Damm
115,Titouan Droguet
123,Christopher O'Connell
136,Kyrian Jacquet
143,Michael Zheng
150,Shintaro Mochizuki
152,Jacob Fearnley
160,Jack Draper
168,Nicolas Mejia
170,Gael Monfils
180,Alexis Galarneau
200,Liam Draxl
270,Juncheng Shang
300,Duncan Chan
