tourney_name,tourney_date,player,rank,rank_points
Roland Garros,20260524,Jannik Sinner,1,14750
Roland Garros,20260524,Alexander Zverev,3,5705
Roland Garros,20260524,Novak Djokovic,4,4460
Roland Garros,20260524,Ben Shelton,5,4070
Roland Garros,20260524,Felix Auger-Aliassime,6,4050
Roland Garros,20260524,Alex de Minaur,7,3855
Roland Garros,20260524,Daniil Medvedev,8,3760
Roland Garros,20260524,Taylor Fritz,9,3720
Roland Garros,20260524,Alexander Bublik,10,3320
Roland Garros,20260524,Jiri Lehecka,12,2665
Roland Garros,20260524,Andrey Rublev,13,2460
Roland Garros,20260524,Flavio Cobolli,14,2340
Roland Garros,20260524,Karen Khachanov,15,2320
Roland Garros,20260524,Casper Ruud,16,2275
Roland Garros,20260524,Luciano Darderi,17,2260
Roland Garros,20260524,Learner Tien,18,2180
Roland Garros,20260524,Valentin Vacherot,19,2103
Roland Garros,20260524,Tommy Paul,21,1945
Roland Garros,20260524,Frances Tiafoe,22,1905
Roland Garros,20260524,Alejandro Davidovich Fokina,23,1860
Roland Garros,20260524,Cameron Norrie,24,1785
Roland Garros,20260524,Arthur Rinderknech,25,1736
Roland Garros,20260524,Francisco Cerundolo,26,1570
Roland Garros,20260524,Jakub Mensik,27,1550
Roland Garros,20260524,Tomas Martin Etcheverry,28,1510
Roland Garros,20260524,Rafael Jodar,29,1461
Roland Garros,20260524,Joao Fonseca,30,1435
Roland Garros,20260524,Ignacio Buse,31,1412
Roland Garros,20260524,Ugo Humbert,32,1370
Roland Garros,20260524,Tallon Griekspoor,33,1340
Roland Garros,20260524,Corentin Moutet,34,1323
Roland Garros,20260524,Brandon Nakashima,35,1295
Roland Garros,20260524,Alejandro Tabilo,36,1278
Roland Garros,20260524,Alexander Blockx,37,1238
Roland Garros,20260524,Mariano Navone,38,1215
Roland Garros,20260524,Denis Shapovalov,39,1170
Roland Garros,20260524,Zizou Bergs,40,1150
Roland Garros,20260524,Jaume Munar,41,1145
Roland Garros,20260524,Alex Michelsen,42,1115
Roland Garros,20260524,Tomas Machac,43,1080
Roland Garros,20260524,Adrian Mannarino,45,1037
Roland Garros,20260524,Marin Cilic,46,1010
Roland Garros,20260524,Miomir Kecmanovic,48,980
Roland Garros,20260524,Gabriel Diallo,49,975
Roland Garros,20260524,Ethan Quinn,50,974
Roland Garros,20260524,Nuno Borges,51,970
Roland Garros,20260524,Terence Atmane,52,938
Roland Garros,20260524,Yannick Hanfmann,53,936
Roland Garros,20260524,Fabian Marozsan,54,935
Roland Garros,20260524,Botic van de Zandschulp,55,935
Roland Garros,20260524,Juan Manuel Cerundolo,56,935
Roland Garros,20260524,Daniel Altmaier,57,930
Roland Garros,20260524,Hamad Medjedovic,58,894
Roland Garros,20260524,Camilo Ugo Carabelli,59,890
Roland Garros,20260524,Thiago Agustin Tirante,60,887
Roland Garros,20260524,Alexei Popyrin,61,870
Roland Garros,20260524,Raphael Collignon,62,866
Roland Garros,20260524,Jenson Brooksby,63,865
Roland Garros,20260524,Sebastian Baez,64,860
Roland Garros,20260524,Marton Fucsovics,65,859
Roland Garros,20260524,Vit Kopriva,66,856
Roland Garros,20260524,Aleksandar Kovacevic,67,837
Roland Garros,20260524,Roman Andres Burruchaga,68,833
Roland Garros,20260524,Martin Landaluce,69,827
Roland Garros,20260524,Lorenzo Sonego,70,815
Roland Garros,20260524,Daniel Vallejo,71,786
Roland Garros,20260524,Dino Prizmic,72,785
Roland Garros,20260524,Mattia Bellucci,73,777
Roland Garros,20260524,Valentin Royer,74,773
Roland Garros,20260524,Reilly Opelka,76,758
Roland Garros,20260524,Kamil Majchrzak,78,747
Roland Garros,20260524,Stefanos Tsitsipas,79,740
Roland Garros,20260524,Jan-Lennard Struff,80,739
Roland Garros,20260524,Marco Trungelliti,81,731
Roland Garros,20260524,James Duckworth,82,722
Roland Garros,20260524,Giovanni Mpetshi Perricard,83,710
Roland Garros,20260524,Marcos Giron,84,705
Roland Garros,20260524,Zachary Svajda,85,696
Roland Garros,20260524,Daniel Merida,86,696
Roland Garros,20260524,Damir Dzumhur,87,694
Roland Garros,20260524,Alexander Shevchenko,88,689
Roland Garros,20260524,Pablo Carreno Busta,89,685
Roland Garros,20260524,Quentin Halys,90,678
Roland Garros,20260524,Eliot Spizzirri,91,660
Roland Garros,20260524,Yibing Wu,92,655
Roland Garros,20260524,Patrick Kypson,93,649
Roland Garros,20260524,Emilio Nava,94,631
Roland Garros,20260524,Benjamin Bonzi,95,629
Roland Garros,20260524,Aleksander Vukic,96,626
Roland Garros,20260524,Adam Walton,97,614
Roland Garros,20260524,Rinky Hijikata,98,612
Roland Garros,20260524,Hubert Hurkacz,99,600
Roland Garros,20260524,Luca Van Assche,100,599
Roland Garros,20260524,Francisco Comesana,102,598
Roland Garros,20260524,Matteo Arnaldi,104,586
Roland Garros,20260524,Matteo Berrettini,105,585
Roland Garros,20260524,Jesper De Jong,106,580
Roland Garros,20260524,Titouan Droguet,107,578
Roland Garros,20260524,Coleman Wong,109,574
Roland Garros,20260524,Sebastian Ofner,112,558
Roland Garros,20260524,Stan Wawrinka,113,553
Roland Garros,20260524,Cristian Garin,114,552
Roland Garros,20260524,Jaime Faria,115,548
Roland Garros,20260524,Roberto Bautista Agut,117,542
Roland Garros,20260524,Hugo Gaston,118,533
Roland Garros,20260524,Pablo Llamas Ruiz,122,515
Roland Garros,20260524,Andrea Pellegrino,124,507
Roland Garros,20260524,Jacob Fearnley,125,505
Roland Garros,20260524,Alexandre Muller,127,494
Roland Garros,20260524,Vilius Gaubas,133,464
Roland Garros,20260524,Arthur Gea,135,460
Roland Garros,20260524,Roman Safiullin,141,430
Roland Garros,20260524,Hugo Dellien,144,421
Roland Garros,20260524,Michael Zheng,146,414
Roland Garros,20260524,Kyrian Jacquet,147,411
Roland Garros,20260524,Nishesh Basavareddy,148,409
Roland Garros,20260524,Facundo Diaz Acosta,151,407
Roland Garros,20260524,Jurij Rodionov,158,379
Roland Garros,20260524,Toby Samuel,159,378
Roland Garros,20260524,Clement Tabur,171,348
Roland Garros,20260524,Juan Carlos Prado Angelo,176,338
Roland Garros,20260524,Gael Monfils,218,260
Roland Garros,20260524,Pierre-Hugues Herbert,220,259
Roland Garros,20260524,Zhizhen Zhang,224,254
Roland Garros,20260524,Federico Cina,238,242
Roland Garros,20260524,Luka Pavlovic,241,237
Roland Garros,20260524,Moise Kouame,318,165
Roland Garros,20260524,Thomas Faurel,378,131
Roland Garros,20260524,Thanasi Kokkinakis,855,29
