rank,name
2,Alexander Zverev
3,Carlos Alcaraz
4,Felix Auger Aliassime
5,Flavio Cobolli
6,Daniil Medvedev
7,Ben Shelton
8,Alex De Minaur
9,Arthur Fils
10,Taylor Fritz
11,Novak Djokovic
12,Rafael Jodar
13,Frances Tiafoe
14,Learner Tien
15,Brandon Nakashima
16,Jakub Mensik
18,Alexander Bublik
19,Lorenzo Musetti
20,Valentin Vacherot
21,Tommy Paul
22,Jiri Lehecka
23,Luciano Darderi
24,Francisco Cerundolo
25,Andrey Rublev
28,Alejandro Tabilo
30,Arthur Rinderknech
31,Arthur Fery
32,Tomas Martin Etcheverry
33,Alexander Blockx
34,Ignacio Buse
35,Matteo Arnaldi
36,Cameron Norrie
37,Zizou Bergs
38,Luca Van Assche
39,Matteo Berrettini
40,Raphael Collignon
41,Daniel Merida
42,Nuno Borges
43,Hubert Hurkacz
44,Alex Michelsen
45,Mariano Navone
46,Sebastian Baez
47,Quentin Halys
48,Karen Khachanov
49,Thiago Agustin Tirante
50,Juan Manuel Cerundolo
51,Yannick Hanfmann
52,Stefanos Tsitsipas
53,Tallon Griekspoor
54,Denis Shapovalov
55,Roman Andres Burruchaga
57,Adolfo Daniel Vallejo
58,Corentin Moutet
59,Fabian Marozsan
60,Miomir Kecmanovic
61,Martin Landaluce
63,Vit Kopriva
64,Daniel Altmaier
65,Jan-Lennard Struff
66,Botic van de Zandschulp
67,Pablo Carreno Busta
68,James Duckworth
69,Jaime Faria
70,Jaume Munar
71,Jan Choinski
72,Tomas Machac
73,Camilo Ugo Carabelli
74,Hamad Medjedovic
75,Jenson Brooksby
77,Valentin Royer
78,Kamil Majchrzak
79,Aleksandar Kovacevic
80,Marcos Giron
81,Rinky Hijikata
82,Arthur Gea
83,Facundo Diaz Acosta
84,Adrian Mannarino
85,Lorenzo Sonego
86,Terence Atmane
87,Zachary Svajda
88,Aleksandar Vukic
89,Aleksandr Shevchenko
90,Alex Molcan
91,Sho Shimabukuro
92,Adam Walton
93,Hugo Gaston
94,Martin Damm
95,Mattia Bellucci
96,Damir Dzumhur
97,Giovanni Mpetshi Perricard
98,Toby Samuel
99,Jesper de Jong
100,Roman Safiullin
101,Dino Prizmic
102,Michael Zheng
105,Coleman Wong
106,Otto Virtanen
107,Marco Trungelliti
109,Benjamin Bonzi
110,Yibing Wu
112,Zsombor Piros
113,Jacob Fearnley
114,Marton Fucsovics
117,Yunchaokete Bu
120,Dalibor Svrcina
122,Dane Sweeny
123,Francisco Comesana
125,Grigor Dimitrov
126,Shintaro Mochizuki
129,Stanislas Wawrinka
131,Marcelo Tomas Barrios Vera
133,Alexei Popyrin
134,Jurij Rodionov
138,Rei Sakamoto
139,Lloyd Harris
144,Nishesh Basavareddy
158,Andrea Guerrieri
159,Federico Cina
165,Harry Wendelken
173,Tristan Schoolkate
195,Francesco Passaro
205,Juncheng Shang
219,Darwin Blanch
221,J.J. Wolf
297,Gael Monfils
367,Jack Kennedy
391,Carlos Taberner
464,Filip Misolic
689,Sebastian Gorzny
