logged_at,tourney,round,match_no,player_a,player_b,pick_player,pick_odds,is_underdog,model_pick_prob,other_model_pick_prob,book_pick_prob,raw_edge,edge_score,confidence_score,agreement_score,volatility_score,pick_score,courtiq_score,bucket,voided,voided_at,voided_reason,outcome,profit_units,updated_at
2026-06-15T00:06:28+00:00,halle2026,R32,1,Alexander Zverev,Vit Kopriva,Alexander Zverev,-1960.0,False,0.776665,0.857143,0.909011,-0.132346,0.0,1.0,1.0,0.1073,0.4393,43.93,Avoid,False,,,win,0.051,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,2,Joao Fonseca,Yannick Hanfmann,Joao Fonseca,-251.0,False,0.680093,0.857143,0.682065,-0.001972,0.0,0.7204,1.0,0.3798,0.3281,32.81,Avoid,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,3,Alexei Popyrin,Raphael Collignon,Raphael Collignon,-125.0,False,0.541311,0.717391,0.530026,0.011285,0.1129,0.1652,1.0,0.7539,0.175,17.5,Avoid,False,,,win,0.8,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,4,Mattia Bellucci,Alexander Bublik,Alexander Bublik,-340.0,False,0.631871,0.761905,0.735577,-0.103706,0.0,0.5275,1.0,0.3768,0.2706,27.06,Avoid,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,5,Ben Shelton,Nick Kyrgios,Ben Shelton,-229.0,False,0.569637,0.821429,0.664066,-0.094429,0.0,0.2785,1.0,0.5745,0.1761,17.61,Avoid,True,2026-06-17T01:18:58+00:00,opponent swap → Ben Shelton vs Lorenzo Sonego,,,
2026-06-15T00:06:28+00:00,halle2026,R32,6,Karen Khachanov,Ethan Quinn,Karen Khachanov,-306.0,False,0.654982,0.821429,0.718708,-0.063726,0.0,0.6199,1.0,0.3833,0.2976,29.76,Avoid,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,7,Fabian Marozsan,Miomir Kecmanovic,Miomir Kecmanovic,-127.0,False,0.555673,0.717391,0.532999,0.022675,0.2267,0.2227,1.0,0.7279,0.2461,24.61,Upset Watch,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,8,Zizou Bergs,Taylor Fritz,Taylor Fritz,-368.0,False,0.623572,0.844037,0.750235,-0.126663,0.0,0.4943,1.0,0.4023,0.2581,25.81,Avoid,False,,,win,0.2717,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,9,Andrey Rublev,Hubert Hurkacz,Andrey Rublev,-128.0,False,0.613565,0.857143,0.535073,0.078491,0.7849,0.4543,1.0,0.6332,0.5762,57.62,Green,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,10,Nikoloz Basilashvili,Daniel Altmaier,Daniel Altmaier,114.0,True,0.555854,0.693548,0.445513,0.110341,1.0,0.2234,0.8,0.7497,0.5621,56.21,Upset Watch,False,,,win,1.14,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,11,Terence Atmane,Martin Landaluce,Martin Landaluce,-161.0,False,0.56362,0.652381,0.588665,-0.025045,0.0,0.2545,1.0,0.5779,0.1686,16.86,Avoid,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,12,Tomas Martin Etcheverry,Daniil Medvedev,Daniil Medvedev,-447.0,False,0.713089,0.844037,0.780055,-0.066965,0.0,0.8524,1.0,0.2337,0.3823,38.23,Avoid,False,,,win,0.2237,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,13,Flavio Cobolli,Frances Tiafoe,Flavio Cobolli,125.0,True,0.53358,0.611279,0.423608,0.109972,1.0,0.1343,0.8,0.6835,0.5419,54.19,Upset Watch,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,14,Tallon Griekspoor,Sho Shimabukuro,Tallon Griekspoor,-164.0,False,0.599306,0.821429,0.592442,0.006864,0.0686,0.3972,1.0,0.5987,0.2402,24.02,Avoid,False,,,loss,-1.0,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,15,Max Schoenhaus,Learner Tien,Learner Tien,-552.0,False,0.60869,0.790123,0.807978,-0.199288,0.0,0.4348,1.0,0.4261,0.2378,23.78,Avoid,False,,,win,0.1812,2026-06-17T20:39:19+00:00
2026-06-15T00:06:28+00:00,halle2026,R32,16,Nuno Borges,Felix Auger Aliassime,Felix Auger Aliassime,-325.0,False,0.677402,0.790123,0.729687,-0.052285,0.0,0.7096,1.0,0.2868,0.3342,33.42,Avoid,False,,,win,0.3077,2026-06-17T20:39:19+00:00
2026-06-15T00:06:31+00:00,queens2026,R32,1,Alex De Minaur,Gabriel Diallo,Alex De Minaur,-516.0,False,0.65068,0.857143,0.79949,-0.14881,0.0,0.6027,1.0,0.3589,0.2949,29.49,Avoid,False,,,win,0.1938,2026-06-17T20:39:22+00:00
2026-06-15T00:06:31+00:00,queens2026,R32,2,Jack Pinnington Jones,Denis Shapovalov,Denis Shapovalov,-160.0,False,0.56526,0.716977,0.587039,-0.02178,0.0,0.261,1.0,0.6585,0.1625,16.25,Avoid,False,,,win,0.625,2026-06-17T20:39:22+00:00
2026-06-15T00:06:31+00:00,queens2026,R32,3,Brandon Nakashima,Marton Fucsovics,Brandon Nakashima,-176.0,False,0.578186,0.746575,0.607776,-0.02959,0.0,0.3127,1.0,0.6171,0.1821,18.21,Avoid,False,,,win,0.5682,2026-06-17T20:39:22+00:00
