rank,name,source_tourney
1,Jannik Sinner,wimbledon2026
2,Alexander Zverev,usopen2026
3,Carlos Alcaraz,usopen2026
4,Felix Auger Aliassime,usopen2026
5,Flavio Cobolli,usopen2026
6,Daniil Medvedev,usopen2026
7,Ben Shelton,usopen2026
8,Alex De Minaur,usopen2026
9,Arthur Fils,usopen2026
10,Taylor Fritz,usopen2026
11,Holger Rune,wimbledon2025_onward
11,Novak Djokovic,usopen2026
12,Rafael Jodar,usopen2026
13,Frances Tiafoe,usopen2026
14,Learner Tien,usopen2026
15,Brandon Nakashima,usopen2026
16,Jakub Mensik,usopen2026
17,Casper Ruud,cincinnati2026
18,Alexander Bublik,usopen2026
19,Lorenzo Musetti,usopen2026
20,Valentin Vacherot,usopen2026
21,Tommy Paul,usopen2026
22,Jiri Lehecka,usopen2026
23,Luciano Darderi,usopen2026
24,Francisco Cerundolo,usopen2026
25,Andrey Rublev,usopen2026
25,Alejandro Davidovich Fokina,wimbledon2026
26,Joao Fonseca,cincinnati2026
28,Alejandro Tabilo,usopen2026
30,Arthur Rinderknech,usopen2026
30,Ugo Humbert,cincinnati2026
31,Arthur Fery,usopen2026
32,Tomas Martin Etcheverry,usopen2026
33,Alexander Blockx,usopen2026
34,Ignacio Buse,usopen2026
35,Matteo Arnaldi,usopen2026
36,Cameron Norrie,usopen2026
37,Zizou Bergs,usopen2026
38,Luca Van Assche,usopen2026
39,Matteo Berrettini,usopen2026
40,Raphael Collignon,usopen2026
41,Daniel Merida,usopen2026
42,Nuno Borges,usopen2026
43,Hubert Hurkacz,usopen2026
44,Alex Michelsen,usopen2026
45,Mariano Navone,usopen2026
46,Sebastian Baez,usopen2026
47,Quentin Halys,usopen2026
48,Karen Khachanov,usopen2026
49,Thiago Agustin Tirante,usopen2026
50,Juan Manuel Cerundolo,usopen2026
51,Yannick Hanfmann,usopen2026
52,Stefanos Tsitsipas,usopen2026
53,Tallon Griekspoor,usopen2026
54,Denis Shapovalov,usopen2026
54,Sebastian Korda,wimbledon2025_onward
55,Roman Andres Burruchaga,usopen2026
57,Adolfo Daniel Vallejo,usopen2026
58,Corentin Moutet,usopen2026
59,Fabian Marozsan,usopen2026
60,Miomir Kecmanovic,usopen2026
61,Martin Landaluce,usopen2026
62,Arthur Cazaux,wimbledon2025_onward
63,Vit Kopriva,usopen2026
63,Ethan Quinn,wimbledon2026
64,Daniel Altmaier,usopen2026
65,Jan-Lennard Struff,usopen2026
66,Botic van de Zandschulp,usopen2026
66,Roman Burruchaga,hamburg2026
67,Pablo Carreno Busta,usopen2026
68,James Duckworth,usopen2026
69,Jaime Faria,usopen2026
70,Jaume Munar,usopen2026
71,Jan Choinski,usopen2026
72,Tomas Machac,usopen2026
73,Pedro Martinez,wimbledon2025_onward
73,Camilo Ugo Carabelli,usopen2026
74,Hamad Medjedovic,usopen2026
75,Jenson Brooksby,usopen2026
76,Reilly Opelka,rg2026
77,Valentin Royer,usopen2026
78,Kamil Majchrzak,usopen2026
79,Marin Cilic,cincinnati2026
79,Aleksandar Kovacevic,usopen2026
80,Marcos Giron,usopen2026
81,Rinky Hijikata,usopen2026
82,Arthur Gea,usopen2026
82,Laslo Djere,wimbledon2025_onward
83,Facundo Diaz Acosta,usopen2026
84,Adrian Mannarino,usopen2026
85,Jordan Thompson,wimbledon2025_onward
85,Lorenzo Sonego,usopen2026
86,Terence Atmane,usopen2026
87,Zachary Svajda,usopen2026
87,Roberto Carballes Baena,wimbledon2025_onward
87,Emilio Nava,wimbledon2026
88,Aleksandar Vukic,usopen2026
89,Aleksandr Shevchenko,usopen2026
90,Alex Molcan,usopen2026
91,Eliot Spizzirri,rg2026
91,Gabriel Diallo,canada2026
91,Sho Shimabukuro,usopen2026
92,Adam Walton,usopen2026
93,Hugo Gaston,usopen2026
94,Martin Damm,usopen2026
