rank,name
5,Alex de Minaur
6,Ben Shelton
10,Taylor Fritz
15,Lorenzo Musetti
16,Learner Tien
17,Frances Tiafoe
18,Jakub Mensik
23,Arthur Fils
24,Tommy Paul
25,Rafael Jodar
29,Ugo Humbert
30,Alejandro Tabilo
31,Tomas Martin Etcheverry
32,Brandon Nakashima
33,Matteo Arnaldi
34,Zizou Bergs
44,Alex Michelsen
46,Adrian Mannarino
49,Terence Atmane
51,Stefanos Tsitsipas
66,Tallon Griekspoor
71,Kamil Majchrzak
73,Zachary Svajda
85,Marcos Giron
102,Aleksandar Vukic
105,Martin Damm
147,Jack Draper
270,Juncheng Shang
322,Andres Martin
435,Trevor Svajda
615,Cruz Hewitt
719,Kei Nishikori
