match_no,player_a,odds_a,player_b,odds_b
1,Lorenzo Sonego,-110,Tallon Griekspoor,-109
2,Shintaro Mochizuki,163,Fabian Marozsan,-200
3,Daniel Merida,-137,Liam Draxl,114
4,Alex Michelsen,-303,Jan-Lennard Struff,240
5,Kamil Majchrzak,-333,Gael Monfils,254
6,Pablo Carreno Busta,-213,Valentin Royer,175
7,Alexei Popyrin,-156,Roman Andres Burruchaga,129
8,Duncan Chan,231,Thiago Agustin Tirante,-278
9,Giovanni Mpetshi Perricard,110,Botic van de Zandschulp,-125
10,Hubert Hurkacz,-189,Marcos Giron,154
11,Terence Atmane,200,Jack Draper,-233
12,Jacob Fearnley,-175,Adrian Mannarino,154
13,Juan Manuel Cerundolo,140,Hamad Medjedovic,-161
14,Martin Damm,175,Stefanos Tsitsipas,-196
15,Sebastian Baez,-120,Mattia Bellucci,100
16,Adam Walton,120,Jenson Brooksby,-141
17,Alexis Galarneau,-110,Vit Kopriva,-103
18,Jaume Munar,-137,Rinky Hijikata,119
19,Marton Fucsovics,100,Corentin Moutet,-115
20,Nicolas Mejia,202,Martin Landaluce,-250
21,Matteo Berrettini,-189,Mariano Navone,150
22,Zachary Svajda,122,Denis Shapovalov,-137
23,Camilo Ugo Carabelli,320,Cameron Norrie,-400
24,James Duckworth,129,Christopher O'Connell,-141
25,Benjamin Bonzi,110,Yannick Hanfmann,-130
26,Aleksandar Kovacevic,290,Nuno Borges,-400
27,Gabriel Diallo,-123,Kyrian Jacquet,110
28,Adolfo Daniel Vallejo,129,Juncheng Shang,-159
29,Sho Shimabukuro,120,Marin Cilic,-145
30,Michael Zheng,-151,Miomir Kecmanovic,119
31,Aleksandar Vukic,-149,Daniel Altmaier,129
32,Luca Van Assche,-110,Titouan Droguet,-103
