match_no,date,round,player_a,odds_a,player_b,odds_b
1,8/5/2026,R64,Alexander Zverev,-714,Tallon Griekspoor,500
2,8/5/2026,R64,Fabian Marozsan,-137,Matteo Arnaldi,127
3,8/5/2026,R64,Ugo Humbert,-278,Daniel Merida,221
4,8/6/2026,R64,Alex Michelsen,-175,Francisco Cerundolo,150
5,8/6/2026,R64,Learner Tien,-303,Gael Monfils,240
6,8/5/2026,R64,Valentin Royer,350,Tommy Paul,-476
7,8/5/2026,R64,Raphael Collignon,-189,Alexei Popyrin,156
8,8/6/2026,R64,Thiago Agustin Tirante,491,Taylor Fritz,-714
9,8/5/2026,R64,Daniil Medvedev,-323,Botic van de Zandschulp,275
10,8/6/2026,R64,Hubert Hurkacz,-175,Alejandro Tabilo,141
11,8/5/2026,R64,Karen Khachanov,-141,Terence Atmane,120
12,8/5/2026,R64,Jacob Fearnley,240,Jakub Mensik,-303
13,8/5/2026,R64,Casper Ruud,-303,Juan Manuel Cerundolo,240
14,8/6/2026,R64,Stefanos Tsitsipas,129,Joao Fonseca,-159
15,8/6/2026,R64,Zizou Bergs,-192,Sebastian Baez,154
16,8/6/2026,R64,Jenson Brooksby,351,Ben Shelton,-500
17,8/5/2026,R64,Jiri Lehecka,-556,Vit Kopriva,450
18,8/5/2026,R64,Jaume Munar,131,Alexander Blockx,-149
19,8/6/2026,R64,Rafael Jodar,-345,Corentin Moutet,277
20,8/6/2026,R64,Nicolas Mejia,630,Lorenzo Musetti,-1000
21,8/6/2026,R64,Valentin Vacherot,-161,Mariano Navone,140
22,8/5/2026,R64,Zachary Svajda,300,Arthur Fils,-312
23,8/6/2026,R64,Ignacio Buse,175,Cameron Norrie,-196
24,8/5/2026,R64,James Duckworth,630,Alex De Minaur,-1000
25,8/5/2026,R64,Flavio Cobolli,-145,Yannick Hanfmann,120
26,8/6/2026,R64,Nuno Borges,-189,Tomas Martin Etcheverry,162
27,8/5/2026,R64,Luciano Darderi,100,Gabriel Diallo,-109
28,8/6/2026,R64,Juncheng Shang,300,Andrey Rublev,-385
29,8/5/2026,R64,Frances Tiafoe,-189,Marin Cilic,169
30,8/6/2026,R64,Miomir Kecmanovic,-102,Arthur Rinderknech,-110
31,8/5/2026,R64,Brandon Nakashima,-345,Daniel Altmaier,275
32,8/6/2026,R64,Titouan Droguet,129,Jaime Faria,-152
