match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-08-17,R32,Alexander Zverev,-640,Terence Atmane,446
2,2026-08-17,R32,Tommy Paul,-459,Adolfo Daniel Vallejo,341
3,2026-08-17,R32,Rafael Jodar,-267,Alejandro Tabilo,211
4,2026-08-17,R32,Alexander Blockx,-139,Flavio Cobolli,114
5,2026-08-17,R32,Thiago Agustin Tirante,-146,Martin Landaluce,120
6,2026-08-17,R32,Rinky Hijikata,261,Jakub Mensik,-337
7,2026-08-17,R32,Jiri Lehecka,132,Arthur Fils,-162
8,2026-08-17,R32,Arthur Fery,352,Alex De Minaur,-478
9,2026-08-18,R32,Taylor Fritz,-430,Daniel Merida,323
10,2026-08-18,R32,Joao Fonseca,-480,Christopher O'Connell,354
11,2026-08-18,R32,Andrey Rublev,-163,Nuno Borges,133
12,2026-08-18,R32,Brandon Nakashima,117,Daniil Medvedev,-142
13,2026-08-18,R32,Jaime Faria,-144,Adam Walton,118
14,2026-08-18,R32,Michael Zheng,150,Lorenzo Musetti,-184
15,2026-08-18,R32,Learner Tien,-152,Frances Tiafoe,124
16,2026-08-18,R32,Juan Manuel Cerundolo,339,Felix Auger Aliassime,-456
