feature,importance_split,importance_gain
diff_wr_Hard,1801,17636.78037416935
diff_wr_Clay,1721,10378.949364185333
rank_diff,1495,9302.810209780931
diff_win_rate,1770,8737.89863562584
selo_diff,1629,7372.839768111706
surface,755,7033.86980420351
diff_avg_rest_days,1404,5132.115030914545
diff_wr_Grass,1094,5045.935959041119
diff_current_elo,1229,4887.90351614356
diff_peak_elo,1159,4030.0092263817787
diff_matches_28d,628,2610.69189953804
diff_rolling_10_winrate,599,2061.929391980171
round,561,2017.8638778328896
diff_form_divergence,584,1830.112415254116
diff_streak,518,1622.9166602492332
diff_rolling_5_winrate,397,1306.3114988207817
elo_diff,156,645.6991202831268
diff_h2h_wr_prior,201,639.6128587722778
tourney_level,225,632.8678366541862
best_of,74,349.5011292695999
