name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Jannik Sinner,2026-05-03,2148.6655106044327,2148.6655106044327,1747.9223246966335,1613.6431331156105,2030.087588684822,0.9537773569164982,0.7874199626902033,0.9637929084553294,0.9640888954285598,0.9883423247957472,0.9981802996014166,23.0,3.1387337464419613,10.016747752666848
Carlos Alcaraz,2026-04-16,2041.9865364007985,2074.728194218457,1804.5813348696183,1669.3237882066308,1932.9127489480784,0.8298260265909021,0.9381792162575956,0.7615708860602146,0.8461813256588935,0.8215738703687385,0.8120704199908262,2.0,3.792057806893437,9.082955955593
Novak Djokovic,2026-03-10,1976.0667662910644,2054.189089544887,1768.6626246140745,1674.3652144355349,1891.0007024196216,0.8875368105610033,0.7966326342700689,0.7070172166407295,0.7829437838226576,0.7326047569683671,0.6666402035673926,-1.0,8.515584228946976,4.397414823702219
Alexander Zverev,2026-05-03,1899.5779951292768,1904.408982402697,1761.0483521054769,1575.0718279377631,1807.916713717405,0.7396775754551826,0.6693081463643837,0.7067428938650894,0.7502523974264781,0.7454011097461029,0.7134828316039221,-1.0,2.796355580099445,11.392426822538694
Arthur Fils,2026-05-01,1801.3128548756013,1804.3365832095387,1624.9403626649432,1516.1939689260469,1661.0002422221353,0.7697154216163994,0.5756671748194164,0.7013294695607294,0.7634565219450186,0.7961852218302085,0.767153256112389,-1.0,3.972294294248975,9.760813337127107
Taylor Fritz,2026-03-24,1794.1575446360273,1877.6220124836373,1616.4582102523448,1592.7499362464057,1742.7771021415465,0.6212961955959494,0.7426771010089757,0.6053869990820147,0.6475262488443928,0.6172680865873708,0.5837362422262576,-1.0,6.451222725342514,5.643155418931127
Ben Shelton,2026-04-24,1793.177604724132,1824.1725121735144,1497.2767830539356,1497.443106559374,1753.7533310081983,0.4356418911054559,0.5110810991707794,0.829710685134116,0.7114108150877877,0.7114733303670343,0.6880864984588521,-1.0,6.314254529573217,6.092093483935283
Daniil Medvedev,2026-04-28,1779.085121564258,1924.10989234316,1610.773423077121,1621.361378812999,1758.7642483702843,0.5721864072628506,0.7084777708818872,0.7136246893229832,0.653038163301645,0.6303654518298495,0.5705408554542698,-1.0,5.537826901835388,5.790415425633571
Alex De Minaur,2026-04-24,1773.1637762431783,1866.3832553957848,1575.1191814556423,1613.6234243647634,1757.6933999483454,0.4923531212488845,0.70693287608567,0.5516056589712234,0.5944548293855137,0.5015296625757594,0.4037702339664577,-2.0,6.025119003921181,5.543380725572637
Felix Auger Aliassime,2026-04-27,1762.9917086652029,1806.5747957692372,1614.101963285191,1517.3533705363734,1698.309952036031,0.5513972068090888,0.2841064989810188,0.5909560877362795,0.6272060014002216,0.5820986352921356,0.5264789425067414,-1.0,5.962080419086851,5.3992272883978325
Nick Kyrgios,2023-06-12,1739.421483935275,1779.8734522983857,1518.106986691486,1571.2380572989057,1639.26821009215,0.588996875,0.6121600479816475,0.6726192777355879,0.6907245190193,0.6166016979084904,0.5114025281621902,-2.0,10.336462379805104,1.745753120816495
Holger Rune,2025-10-08,1731.2352753135096,1827.5225289727653,1640.3041413942478,1535.603298558039,1674.5926251751184,0.6176939922240222,0.6043991470933344,0.6399413931620657,0.6586252845835188,0.6475719321663554,0.62541154274934,-1.0,5.725810759500954,6.832334221830208
Jack Draper,2026-04-13,1723.6668266839654,1780.0987490585155,1493.0208805626817,1568.915734084895,1665.710567956907,0.3150281409491863,0.6507311535177335,0.5460328713231993,0.5767828285802057,0.500447978269658,0.4107835418624447,-2.0,12.269749091581769,2.9678328268226144
Rafael Nadal,2024-11-19,1719.821591394527,1884.699101867268,1668.9594864343771,1538.0770620350263,1620.0115665014762,0.5994986203217731,0.6614252421875,0.407483991277102,0.5658819551094653,0.5069728827395409,0.44099007390412,-2.0,14.328161470275589,1.635272197411675
Jiri Lehecka,2026-04-29,1717.2223256763818,1726.912043680801,1557.5881447329482,1507.4169641490596,1643.6043065495812,0.6448789865713598,0.5410733122875488,0.6424402849387971,0.6441481358239903,0.6590303809337574,0.6439952407492383,-1.0,5.281775598237382,7.45940647963127
Lorenzo Musetti,2026-04-27,1713.8602725492349,1750.5333097488149,1629.855766490776,1582.4726596230466,1609.8926125070575,0.6073249142133125,0.7272822365680689,0.5206622023332049,0.5767463632202507,0.554500576499443,0.5377918133361776,-1.0,8.449474743868263,5.688433571162544
Frances Tiafoe,2026-03-25,1707.7211319642836,1738.3458139157458,1528.1026631702607,1545.0538074359592,1659.716830398092,0.4543841988587726,0.5466711416358678,0.6497108032472755,0.6294756173653399,0.6496371392599828,0.6392045240583016,-1.0,5.467016675155799,8.041619658925569
