name,last_match_date,current_elo,peak_elo,selo_Clay,selo_Grass,selo_Hard,wr_Clay,wr_Grass,wr_Hard,overall_wr,form10_wr,form5_wr,streak,avg_rest_days,matches_28d
Jannik Sinner,2026-07-12,2152.2522305324364,2160.0661925233408,1761.4267319119783,1704.6680009436943,2025.3551676610089,0.8374047677174834,0.9781532198168092,0.9786785339907083,0.9512407783423242,0.9498868243172928,0.9580233887444785,7.0,4.476051243364015,7.154978242474915
Carlos Alcaraz,2026-09-08,2018.3365849563604,2065.134881320222,1800.13161422032,1693.4211810945947,1909.6144819386423,0.8607395285260613,0.9236092458088451,0.7494640323185363,0.8320044184978154,0.797533419385335,0.7558018014426415,-1.0,7.072627098089432,5.12715036260236
Alexander Zverev,2026-09-13,1922.7194758504752,1928.0669368902188,1782.370254971737,1616.3570945283102,1821.6954216035501,0.9347324092598478,0.7297737598726224,0.88250245740258,0.8405028996897639,0.8709237274163256,0.9154943031170217,7.0,4.026436182402926,8.027497727726292
Novak Djokovic,2026-09-01,1904.8895225122633,2054.189089544887,1746.8860706070502,1703.407217471226,1850.1633767943551,0.6991747622179098,0.7959711820009778,0.5974607659494889,0.6794576798242189,0.5720375408104108,0.4497790076797806,-3.0,12.016376582437886,2.3863389376081603
Taylor Fritz,2026-09-04,1804.6681445775112,1864.4815126783803,1604.5494912584272,1647.3908815865502,1738.6889985922307,0.528101766256557,0.7512345654963157,0.6743863879971327,0.7188409814220154,0.6939598495068658,0.6385756483546969,-1.0,4.629405164955705,7.674809117902464
Ben Shelton,2026-09-13,1797.9495292919307,1806.3350527803834,1486.5280173537126,1528.474952880535,1779.3752565747711,0.4291716214310373,0.5683845184539363,0.7766573445571835,0.7343290217567379,0.7565254000832988,0.7367059056282488,-1.0,4.126716600385167,8.571231057357629
Arthur Fils,2026-09-01,1793.4983916057786,1811.0759110603615,1610.4569702314454,1518.5807445831808,1689.4778420588648,0.7152023114989394,0.5434195338070283,0.7494019022249228,0.7343577430671244,0.735921243289886,0.7148816961850605,-1.0,5.53549278709108,7.122181594268462
Frances Tiafoe,2026-09-10,1779.89838276451,1791.8079800776184,1544.1023296509911,1590.1749115336881,1705.0600947845317,0.5866825037602307,0.7260086090966212,0.7392122726702599,0.739072530284197,0.7465338238155154,0.7187289132124205,-1.0,3.6937702391985985,9.322426357093393
Felix Auger Aliassime,2026-09-03,1745.9469690526776,1806.5747957692374,1614.2944423166098,1552.7621564859965,1693.2525304858593,0.6374269326575427,0.607760554598013,0.6051107090711725,0.6560833062731904,0.6244256729965548,0.5656473943324641,-1.0,6.787295533027853,4.5556616821280045
Nick Kyrgios,2023-06-12,1739.421483935275,1779.8734522983857,1518.106986691486,1571.2380572989055,1639.26821009215,0.588996875,0.6121600479816475,0.6726192777355879,0.6907245190193,0.6166016979084904,0.5114025281621902,-2.0,10.336462379805104,1.745753120816495
Tommy Paul,2026-09-06,1737.3318104311597,1790.465312770259,1560.7805240625335,1614.0164190089683,1678.0033122441375,0.6574739811852689,0.6753425712675328,0.6595253073385833,0.6650799567700317,0.6581028983373882,0.6389506676164699,-1.0,4.74430807943108,7.363249785550065
Holger Rune,2025-10-01,1733.080414048576,1827.5225289727653,1640.3040369691712,1525.9944361253365,1685.5629920779404,0.6176939922240222,0.5137392750293343,0.7528722272494891,0.6855263817340573,0.7251500522476204,0.7779492428621337,3.0,5.3303102627769885,7.799862225143064
