match_no,date,round,player_a,odds_a,player_b,odds_b
1,2026-09-03,R64,Alexander Zverev,-650,Quentin Halys,431
2,2026-09-03,R64,Alexei Popyrin,120,Alejandro Tabilo,-151
3,2026-09-03,R64,Luciano Darderi,-155,Dalibor Svrcina,123
4,2026-09-03,R64,Dane Sweeny,1180,Lorenzo Musetti,-3900
5,2026-09-03,R64,Yunchaokete Bu,141,Michael Zheng,-180
6,2026-09-03,R64,Zachary Svajda,-132,Arthur Gea,105
7,2026-09-03,R64,Zizou Bergs,-252,Jesper de Jong,193
8,2026-09-03,R64,Botic van de Zandschulp,248,Alex De Minaur,-334
9,2026-09-03,R64,Felix Auger Aliassime,-283,Karen Khachanov,215
10,2026-09-03,R64,Benjamin Bonzi,100,Ignacio Buse,-126
11,2026-09-03,R64,Jakub Mensik,-890,Jurij Rodionov,541
12,2026-09-03,R64,Gael Monfils,344,Learner Tien,-491
13,2026-09-03,R64,Taylor Fritz,-1020,Mattia Bellucci,593
14,2026-09-03,R64,Jan-Lennard Struff,143,Francisco Cerundolo,-183
15,2026-09-03,R64,Alexander Blockx,-517,Marco Trungelliti,359
16,2026-09-03,R64,Tristan Schoolkate,405,Flavio Cobolli,-600
17,2026-09-02,R64,Daniil Medvedev,-4200,Sebastian Gorzny,1220
18,2026-09-02,R64,Jaume Munar,130,Arthur Rinderknech,-165
19,2026-09-02,R64,Valentin Vacherot,-139,Kamil Majchrzak,110
20,2026-09-02,R64,Rei Sakamoto,296,Frances Tiafoe,-410
21,2026-09-02,R64,Brandon Nakashima,-237,Alex Michelsen,182
22,2026-09-02,R64,Daniel Merida,124,Andrey Rublev,-157
23,2026-09-02,R64,Tomas Martin Etcheverry,-142,Jacob Fearnley,112
24,2026-09-02,R64,Matteo Berrettini,-202,Mariano Navone,158
25,2026-09-02,R64,Ben Shelton,-260,Hubert Hurkacz,199
26,2026-09-02,R64,Denis Shapovalov,-153,Luca Van Assche,121
27,2026-09-02,R64,Jiri Lehecka,-298,Toby Samuel,225
28,2026-09-02,R64,Lloyd Harris,194,Stefanos Tsitsipas,-253
29,2026-09-02,R64,Alexander Bublik,-350,Adrian Mannarino,259
30,2026-09-02,R64,Dino Prizmic,349,Tommy Paul,-500
31,2026-09-02,R64,James Duckworth,130,Yibing Wu,-164
32,2026-09-02,R64,Jaime Faria,800,Carlos Alcaraz,-1660
