match_no,player_a,odds_a,player_b,odds_b
1,Alex de Minaur,-156,Stefanos Tsitsipas,125
2,Marcos Giron,,Cruz Hewitt,
3,Brandon Nakashima,-263,Tomas Martin Etcheverry,204
4,Trevor Svajda,,Jakub Mensik,
5,Taylor Fritz,-385,Zizou Bergs,285
6,Kamil Majchrzak,250,Tommy Paul,-333
7,Alex Michelsen,112,Jack Draper,-139
8,Adrian Mannarino,275,Learner Tien,-370
9,Arthur Fils,-159,Rafael Jodar,127
10,Kei Nishikori,179,Juncheng Shang,-227
11,Aleksandar Vukic,,Zachary Svajda,
12,Matteo Arnaldi,127,Lorenzo Musetti,-159
13,Frances Tiafoe,-256,Terence Atmane,204
14,Alejandro Tabilo,110,Tallon Griekspoor,-137
15,Ugo Humbert,,Andres Martin,
16,Martin Damm,,Ben Shelton,
