match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-5000,Nuno Borges,1600
2,Jenson Brooksby,-147,Ignacio Buse,120
3,Rafael Jodar,-333,Pablo Carreno Busta,275
4,Shintaro Mochizuki,220,Ethan Quinn,-278
5,Hubert Hurkacz,-345,Sebastian Ofner,275
6,Soonwoo Kwon,545,Tommy Paul,-769
7,Brandon Nakashima,-333,Jan-Lennard Struff,250
8,Daniel Merida,1800,Daniil Medvedev,-5000
9,Felix Auger-Aliassime,-588,Dino Prizmic,409
10,Nicolas Mejia,333,Michael Zheng,-417
11,Alejandro Davidovich Fokina,-227,Fabian Marozsan,175
12,Marton Fucsovics,240,Learner Tien,-303
13,Roman Safiullin,-137,Botic van de Zandschulp,110
14,Jesper de Jong,436,Joao Fonseca,-588
15,Arthur Rinderknech,-149,Martin Damm,122
16,Stefanos Tsitsipas,426,Novak Djokovic,-588
17,Alex de Minaur,-476,Adrian Mannarino,350
18,Zachary Svajda,200,Kamil Majchrzak,-244
19,Karen Khachanov,-250,Yannick Hanfmann,200
20,,,,
21,Jakub Mensik,-169,Grigor Dimitrov,138
22,Matteo Berrettini,136,Arthur Fils,-161
23,Zizou Bergs,-250,Jaime Faria,200
24,Arthur Fery,163,Otto Virtanen,-182
25,Taylor Fritz,-1250,Patrick Kypson,819
26,Gabriel Diallo,100,Lorenzo Sonego,-110
27,,,,
28,Kyrian Jacquet,266,Alexander Bublik,-333
29,,,,
30,Jacob Fearnley,175,Jaume Munar,-200
31,Quentin Halys,-110,Marcos Giron,-110
32,Valentin Royer,1060,Alexander Zverev,-1429
