match_no,player_a,odds_a,player_b,odds_b
1,Jannik Sinner,-10000.0,Juan Manuel Cerundolo,2500.0
2,Martin Landaluce,-120.0,Vit Kopriva,100.0
3,Arthur Rinderknech,-110.0,Matteo Berrettini,-104.0
4,Francisco Comesana,231.0,Luciano Darderi,-278.0
5,Jan-Lennard Struff,156.0,Jaime Faria,-161.0
6,Hubert Hurkacz,-149.0,Frances Tiafoe,127.0
7,Matteo Arnaldi,138.0,Stefanos Tsitsipas,-175.0
8,Raphael Collignon,175.0,Ben Shelton,-227.0
9,Felix Auger Aliassime,-263.0,Roman Andres Burruchaga,220.0
10,Luca Van Assche,200.0,Brandon Nakashima,-250.0
11,Adolfo Daniel Vallejo,-303.0,Moise Kouame,249.0
12,Alejandro Tabilo,-200.0,Valentin Vacherot,169.0
13,Flavio Cobolli,-294.0,Yibing Wu,250.0
14,Facundo Diaz Acosta,250.0,Learner Tien,-323.0
15,Francisco Cerundolo,-1000.0,Hugo Gaston,620.0
16,Zachary Svajda,-123.0,Adam Walton,100.0
17,Alex De Minaur,,Alexander Blockx,
18,Mariano Navone,104.0,Jakub Mensik,-125.0
19,Nuno Borges,137.0,Miomir Kecmanovic,-161.0
20,Camilo Ugo Carabelli,320.0,Andrey Rublev,-400.0
21,Casper Ruud,-278.0,Hamad Medjedovic,220.0
22,Lorenzo Sonego,472.0,Tommy Paul,-714.0
23,Joao Fonseca,-109.0,Dino Prizmic,-110.0
24,Valentin Royer,600.0,Novak Djokovic,-1000.0
25,Nishesh Basavareddy,163.0,Alex Michelsen,-200.0
26,James Duckworth,1539.0,Rafael Jodar,-3333.0
27,Alejandro Davidovich Fokina,135.0,Thiago Agustin Tirante,-161.0
28,Thanasi Kokkinakis,220.0,Pablo Carreno Busta,-278.0
29,Karen Khachanov,-370.0,Marco Trungelliti,300.0
30,Federico Cina,135.0,Jesper de Jong,-161.0
31,Ugo Humbert,-152.0,Quentin Halys,129.0
32,Tomas Machac,550.0,Alexander Zverev,-909.0
